positive_mode_rank,full_index,frequency_khz,growth_rate_per_s,amplitude_abs,normalized_amplitude,coefficient_rms,wavelength_mm,phase_speed_mps,eigenvalue_real,eigenvalue_imag,mode_real_abs_max_units,mode_amplitude_max_units
1,13,280.471337,-2.378473e+03,6.554888e+23,1.000000,5.848070e+23,2.857143,801.346678,0.98427832,0.17527294,1.075458e+22,1.075458e+22
2,6,415.584080,-6.205104e+03,4.394297e+23,0.670385,3.326919e+23,1.875000,779.220151,0.96550236,0.25800181,5.974903e+21,5.974903e+21
3,9,246.454471,-4.827668e+03,4.386055e+23,0.669127,3.513320e+23,3.157895,778.277277,0.98755751,0.15415934,6.898726e+21,6.898726e+21
4,27,325.118605,2.877823e+03,4.176880e+23,0.637216,4.855900e+23,2.400000,780.284652,0.97948954,0.20291866,8.300208e+21,8.300208e+21
5,8,449.570625,-6.117764e+03,4.009182e+23,0.611632,3.045953e+23,1.764706,793.359927,0.95978157,0.27856155,6.199838e+21,6.199838e+21
6,20,209.954146,-1.818899e+02,3.069879e+23,0.468334,3.042198e+23,3.750000,787.328049,0.99129339,0.13153341,6.011050e+21,6.011050e+21
7,25,338.135491,5.227628e+02,1.680408e+23,0.256360,1.725257e+23,2.142857,724.576052,0.97756692,0.21087311,3.653650e+21,3.653650e+21
8,11,264.891233,-3.590686e+03,1.173384e+23,0.179009,9.912737e+22,3.157895,836.498631,0.98582742,0.16560925,2.291195e+21,2.291195e+21
9,21,350.529194,1.622093e+02,9.144122e+22,0.139501,9.218714e+22,2.307692,808.913524,0.97586000,0.21847127,1.523070e+21,1.523070e+21
10,18,208.330172,-4.043906e+02,7.336525e+22,0.111924,7.190798e+22,4.285714,892.843594,0.99140503,0.13051894,1.412116e+21,1.412116e+21
11,4,533.462230,-7.949517e+03,7.184225e+22,0.109601,5.085558e+22,1.363636,727.448495,0.94359932,0.32868174,1.436021e+21,1.436021e+21
12,2,36.976944,-8.216171e+03,4.609661e+21,0.007032,3.231017e+21,4.285714,158.472617,0.99890906,0.02321213,8.570736e+19,8.570736e+19
13,15,391.765957,-8.604247e+02,2.334238e+21,0.003561,2.237421e+21,2.222222,870.591017,0.96977337,0.24365455,5.770510e+19,5.770510e+19
14,23,45.959962,2.331078e+02,1.637659e+21,0.002498,1.656914e+21,1.764706,81.105815,0.99960638,0.02887416,4.763233e+19,4.763233e+19
