index,singular_value
1,1.4917935689593813e+25
2,1.4671136567029841e+25
3,1.1134189057799110e+25
4,1.1087306655316102e+25
5,8.7086093232770229e+24
6,8.6650873107777509e+24
7,6.9903819744998429e+24
8,6.9516901403840009e+24
9,6.0366403205535954e+24
10,5.9644612214136670e+24
11,5.6056295304277414e+24
12,5.5889867773943690e+24
13,5.5275185396555567e+24
14,5.5167851610467924e+24
15,5.4983851459952071e+24
16,5.4783672164131594e+24
17,5.2527221488000788e+24
18,5.1638969624517126e+24
19,4.5800078156736589e+24
20,4.5485305330116750e+24
21,4.0637157087124238e+24
22,4.0336179355944478e+24
23,3.9177147046285917e+24
24,3.8886905669311335e+24
25,3.5312905469365924e+24
26,3.5175383341679085e+24
27,3.3626662325253303e+24
28,3.3591054766318987e+24
29,3.0698723416135391e+24
30,2.9784294195478544e+24
31,2.9041308220718774e+24
32,2.8226276180289348e+24
33,2.7711372100416559e+24
34,2.7093205720828516e+24
35,2.6775370202069487e+24
36,2.6290167981274125e+24
37,2.6016401580315204e+24
38,2.5911979153845849e+24
39,2.5413917349996619e+24
40,2.5289898039895322e+24
41,2.5275020440299435e+24
42,2.4913020982580683e+24
43,2.4693231371984672e+24
44,2.4525850661743625e+24
45,2.4408512432798204e+24
46,2.4303306186881923e+24
47,2.4097766978442178e+24
48,2.3971509386067712e+24
49,2.3449556093872218e+24
50,2.3376396392454482e+24
51,2.3231687677911370e+24
52,2.3148582628328651e+24
53,2.2715241668786152e+24
54,2.2556050193552777e+24
55,2.2315911727360842e+24
56,2.2202798639874592e+24
57,2.2076194356060864e+24
58,2.1927633610734268e+24
59,2.1764051485374853e+24
60,2.1693242492420266e+24
61,2.1431152584433491e+24
62,2.1270169403988153e+24
63,2.1260565461354251e+24
64,2.1115289193423742e+24
65,2.1003671631761227e+24
66,2.0942923275797056e+24
67,2.0793272259869385e+24
68,2.0695083172324870e+24
69,2.0425672050645092e+24
70,2.0352929182712589e+24
71,2.0281784264938420e+24
72,2.0099265434125031e+24
73,2.0029723086679372e+24
74,1.9899112259681968e+24
75,1.9851049904704844e+24
76,1.9840965049632867e+24
77,1.9769850284506708e+24
78,1.9451937875306569e+24
79,1.9375111243159903e+24
80,1.9202754655631119e+24
81,1.9082478765460845e+24
