positive_mode_rank,full_index,frequency_khz,growth_rate_per_s,amplitude_abs,normalized_amplitude,coefficient_rms,wavelength_mm,phase_speed_mps,eigenvalue_real,eigenvalue_imag,mode_real_abs_max_units,mode_amplitude_max_units
1,21,251.268427,3.111101e+03,5.965922e+02,1.000000,6.461516e+02,3.157895,793.479243,0.98787064,0.15727050,1.595428e+01,1.595428e+01
2,10,311.969572,-1.817622e+03,1.701914e+02,0.285273,1.627433e+02,2.500000,779.923929,0.98067198,0.19472804,4.001318e+00,4.001318e+00
3,19,354.984776,3.019419e+03,1.665167e+02,0.279113,1.799153e+02,2.222222,788.855058,0.97552325,0.22126556,4.282398e+00,4.282398e+00
4,13,338.678875,-8.886251e+02,1.303175e+02,0.218436,1.274754e+02,2.307692,781.566634,0.97735692,0.21117705,2.849292e+00,2.849292e+00
5,18,80.011327,1.006021e+02,9.597540e+01,0.160873,9.621729e+01,7.500000,600.084952,0.99874665,0.05025193,1.653343e+00,1.653343e+00
6,8,469.871677,-2.357209e+03,9.523231e+01,0.159627,8.988677e+01,1.666667,783.119462,0.95651002,0.29089045,1.791396e+00,1.791396e+00
7,25,202.241664,8.464549e+03,9.299577e+01,0.155878,1.166369e+02,4.000000,808.966656,0.99277717,0.12683780,2.381849e+00,2.381849e+00
8,23,264.475792,5.750264e+03,9.094560e+01,0.152442,1.057328e+02,2.727273,721.297615,0.98679194,0.16550644,2.347573e+00,2.347573e+00
9,28,278.333737,1.250640e+04,7.846596e+01,0.131524,1.107885e+02,2.857143,795.239250,0.98597937,0.17420992,2.465825e+00,2.465825e+00
10,6,124.699292,-2.764396e+03,7.481522e+01,0.125404,6.993098e+01,5.000000,623.496462,0.99665659,0.07824910,1.241000e+00,1.241000e+00
11,16,349.878436,-8.764530e+02,6.136969e+01,0.102867,6.004927e+01,2.142857,749.739506,0.97584789,0.21804959,1.342557e+00,1.342557e+00
12,2,224.655334,-7.643506e+03,5.778918e+01,0.096865,4.832142e+01,4.000000,898.621336,0.98929769,0.14057934,8.632197e-01,8.632197e-01
13,4,390.724964,-6.139017e+03,5.500562e+01,0.092200,4.755173e+01,1.935484,756.241866,0.96942068,0.24289195,1.094453e+00,1.094453e+00
14,11,151.763666,-1.110846e+03,4.495269e+01,0.075349,4.373276e+01,4.285714,650.415713,0.99534649,0.09520091,7.883995e-01,7.883995e-01
