index,singular_value
1,1.4428540443341721e+04
2,1.4363434684584796e+04
3,5.9008548754607164e+03
4,5.8424593737561017e+03
5,5.6855199253857181e+03
6,5.6539057437205456e+03
7,5.0609479647258377e+03
8,5.0056406577803300e+03
9,4.7840882312776994e+03
10,4.7539281111169666e+03
11,4.3823686366097891e+03
12,4.3387544278102696e+03
13,3.8554967004654518e+03
14,3.8042602199602302e+03
15,3.5168719317927694e+03
16,3.4650829096941520e+03
17,3.4227560853942255e+03
18,3.3960838330508082e+03
19,3.3025911402313259e+03
20,3.2817522185786461e+03
21,3.0759918409199777e+03
22,3.0529775648621994e+03
23,3.0150030165240128e+03
24,2.9621260971174943e+03
25,2.9361050272859729e+03
26,2.8853688249623674e+03
27,2.8574059947040173e+03
28,2.8321554258328770e+03
29,2.8221881092562767e+03
30,2.8040089010196662e+03
31,2.7790404287902093e+03
32,2.7660163148618090e+03
33,2.7545326516169248e+03
34,2.7137098445933079e+03
35,2.6861146018098270e+03
36,2.6644118704444300e+03
37,2.6457576017188080e+03
38,2.6185600858166645e+03
39,2.6024208976120490e+03
40,2.5888588888574545e+03
41,2.5762127705503381e+03
42,2.5644312261878285e+03
43,2.5489551966170125e+03
44,2.5451423070510091e+03
45,2.5201847424413090e+03
46,2.5166323278222726e+03
47,2.5036384000702856e+03
48,2.4927682220796810e+03
49,2.4798945099677849e+03
50,2.4704915750889650e+03
51,2.4514713337123553e+03
52,2.4444980217818497e+03
53,2.4373530375611244e+03
54,2.4265749634142599e+03
55,2.4127741762944129e+03
56,2.3955410558927224e+03
57,2.3924374785164919e+03
58,2.3803952641507799e+03
59,2.3680247719761992e+03
60,2.3639021071349680e+03
61,2.3569187858021110e+03
62,2.3499726950893328e+03
63,2.3388385301639510e+03
64,2.3295180402158571e+03
65,2.3256047360799503e+03
66,2.3148161197730569e+03
67,2.3144521898106009e+03
68,2.3066304128876614e+03
69,2.3008541591060534e+03
70,2.2949855713545844e+03
71,2.2908485206579871e+03
72,2.2883912839275831e+03
73,2.2816620710571469e+03
74,2.2711837457918296e+03
75,2.2683220000420429e+03
76,2.2616256551243200e+03
77,2.2580188163441208e+03
78,2.2532123806405916e+03
79,2.2510334010802558e+03
80,2.2473384354541631e+03
81,2.2425729363912315e+03
82,2.2384139693016673e+03
